License Number,Full Name,NPN Number,Residency Type,License Status,License Issue Date,Business City,Business State,Business Zip,Business County
W816199,RIGHT TECH INSURANCE CLAIMS INC,"=""8248789""",Resident,VALID,12/29/2021 12:00:00 AM,MIAMI,FL,"=""33185""",Dade
W820575,"EAGLE PUBLIC ADJUSTING GROUP, LLC","=""20207699""",Resident,VALID,1/18/2022 12:00:00 AM,DAYTONA BEACH,FL,"=""32114""",Volusia
W820387,CLAIM ADVISORS,"=""20205999""",Resident,VALID,1/17/2022 12:00:00 AM,CORAL SPRINGS,FL,"=""33076""",Broward
W806942,"CLAIMS, INC.","=""19828286""",Non-Resident,VALID,11/23/2021 12:00:00 AM,ANN ARBOR,MI,"=""48103""",
W807921,"IMPACT CLAIM SERVICES, LLC","=""17111589""",Non-Resident,VALID,11/30/2021 12:00:00 AM,HIGHLANDS RANCH,CO,"=""80126""",
W807924,PROPERTY DAMAGE CONSULTANTS INC,"=""16827842""",Resident,VALID,11/30/2021 12:00:00 AM,BOYNTON BEACH,FL,"=""33435""",Palm Beach
W811601,"CENTURY CLAIMS MANAGEMENT, INC.","=""20171100""",Resident,VALID,12/9/2021 12:00:00 AM,PALM BEACH GARDENS,FL,"=""33412""",Palm Beach
W809046,CLAIMS AID CONSULTANTS,"=""20163408""",Resident,VALID,12/2/2021 12:00:00 AM,PORT ST. LUCIE,FL,"=""34984""",St. Lucie
W807446,ELITE ADJUSTERS LLC,"=""20156972""",Resident,VALID,11/28/2021 12:00:00 AM,MIAMI LAKES,FL,"=""33014""",Dade
W807448,FIRST COAST CLAIM CONSULTANTS,"=""20156967""",Resident,VALID,11/28/2021 12:00:00 AM,JACKSONVILLE,FL,"=""32256""",Duval
W808036,"THE PEOPLE'S ADJUSTER, LLC","=""20160305""",Resident,VALID,11/30/2021 12:00:00 AM,WELLINGTON,FL,"=""33414""",Palm Beach
W808038,ECLIPSE CLAIMS CONSULTING,"=""19373817""",Non-Resident,VALID,11/30/2021 12:00:00 AM,FRISCO,TX,"=""75034""",
W806081,"MARINI ENTERPRISE & ASSOCIATES, INC","=""20150213""",Resident,VALID,11/19/2021 12:00:00 AM,HOLLYWOOD,FL,"=""33021""",Broward
